"id","codigo_120","name"
"1","AJUSTE01","Lei 21/2000 de 12 de Maio, art.º 57.º, n.º 2"
"2","AJUSTE02","Lei 21/2000 de 12 de Maio, art.º 57.º, n.º 3"
"3","CL_C/CAND","Lei 21/2000 de 12 de Maio, art.º 75.º, n.º 8"
"4","CL_C/PQ","Lei 21/2000 de 12 de Maio, art.º 75.º, n.º 6 e 7"
"5","CL_S/CAND","Lei 21/2000 de 12 de Maio, art.º 75.º, n.º 9"
"6","CONC_PUBL","Lei 21/2000 de 12 de Maio, art.ºs 80.ºa  84.º"
"7","DIALOGO","Lei 21/2000 de 12 de Maio, art.º 60.º, n.ºs 1 a 3"
"8","DIALOGO2","Lei 21/2000 de 12 de Maio, art.º 64.º"
"9","DIALOGO3","Lei 21/2000 de 12 de Maio, art.º 65.º"
"10","PROC_NEG1","Lei 21/2000 de 12 de Maio, art.º 71.º, n.º 1"
"11","PROC_NEG2","Lei 21/2000 de 12 de Maio, art.º 71.º, n.º 2"
"12","REG_SIMPL","DL 252/99 de 26 de Junho, art.º 131º, n.º 4, al.) d)"
